Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Portfolio Cuts as on 29th Feb 2024,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Branchwise,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365
20,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,Rural,1113,6.8173059,6.8173059,0,0,0,0,0,0,0,0,0,0,0,0
21,APKL0065,Kandukur_KL,Nellore,Andhra Pradesh,Rural,914,5.0693738,5.0693738,0,0,0,0,0,0,0,0,0,0,0,0
22,APKL0074,Kanigiri_KL,Prakasam,Andhra Pradesh,Rural,808,4.6636205,4.6636205,0,0,0,0,0,0,0,0,0,0,0,0
23,APKL0124,Kavali_KL,Nellore,Andhra Pradesh,Rural,750,4.2466724,4.2466724,0,0,0,0,0,0,0,0,0,0,0,0
24,APJLG0184,Kesarapalli_JLG,Krishna,Andhra Pradesh,Rural,2499,8.79725094500003,8.79363591900003,1,0,0,0.0036150260000000004,0,0.0036150260000000004,0,0,0,0,0,0
25,APKL0040,Kolluru_KL,Bapatla,Andhra Pradesh,Rural,1281,4.4694711,4.4694711,0,0,0,0,0,0,0,0,0,0,0,0
26,APJLG0274,Kothavalasa_JLG,Vizianagaram,Andhra Pradesh,Rural,376,1.9270880629999998,1.9270880629999998,0,0,0,0,0,0,0,0,0,0,0,0
27,APKL0107,Kotturu_KL,Srikakulam,Andhra Pradesh,Rural,1130,5.7826305,5.7826305,0,0,0,0,0,0,0,0,0,0,0,0
28,APKL0137,Kovur_KL,Nellore,Andhra Pradesh,Rural,665,3.3417247,3.3417247,0,0,0,0,0,0,0,0,0,0,0,0
29,APKL0109,Krishnalanka_KL,Krishna,Andhra Pradesh,Rural,676,3.7225411,3.7225411,0,0,0,0,0,0,0,0,0,0,0,0
30,TSJLG0246,Mudigonda_JLG,Khammam,Telangana,Rural,2587,11.2212687669999,11.2212687669999,0,0,0,0,0,0,0,0,0,0,0,0
31,APKL0079,Achampet_KL,Palnadu,Andhra Pradesh,Rural,695,2.0132422,2.0132422,0,0,0,0,0,0,0,0,0,0,0,0
32,APKL0110,Ajit Singh Nagar_KL,Krishna,Andhra Pradesh,Urban,626,3.9452525,3.9452525,0,0,0,0,0,0,0,0,0,0,0,0
33,APKL0061,Allagadda_KL,Nandyal,Andhra Pradesh,Rural,1173,6.9127047,6.9127047,0,0,0,0,0,0,0,0,0,0,0,0
34,APKL0051,Amalapuram_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,706,3.2247873,3.2247873,0,0,0,0,0,0,0,0,0,0,0,0
35,TSJLG0282,Aswaraopeta_JLG,Bhadradri Kothagudem,Telangana,Rural,1795,8.690846705,8.690846705,0,0,0,0,0,0,0,0,0,0,0,0
36,APKL0082,B Kothakota_KL,Annamayya,Andhra Pradesh,Rural,888,3.8145165,3.8145165,0,0,0,0,0,0,0,0,0,0,0,0
37,APJLG0183,Challapalli_JLG,Krishna,Andhra Pradesh,rural,3040,10.643725083,10.59806424,15,0,0,0.045660843,0.028821025,0.013017406,0,0,0.0038224120000000003,0,0,0
38,APKL0043,Challapalli_KL,Krishna,Andhra Pradesh,Rural,1158,4.5069632,4.5069632,0,0,0,0,0,0,0,0,0,0,0,0
39,APJLG0227,Chilakaluripet_JLG,Palnadu,Andhra Pradesh,rural,2951,9.437477480000021,9.422087232000022,5,0,0,0.015390248,0.003198647,0.012191601,0,0,0,0,0,0
40,APMP0160,Chilakaluripet_LH,Palnadu,Andhra Pradesh,Urban,314,3.146767669,3.141665589,1,0,0,0.00510208,0,0.00510208,0,0,0,0,0,0
41,APKL0155,Chirala_KL,Bapatla,Andhra Pradesh,Rural,917,4.56157,4.56157,0,0,0,0,0,0,0,0,0,0,0,0
42,APMP0127,Chittoor_LH,Chittoor,Andhra Pradesh,Urban,531,4.712830971,4.5505078999999995,21,0,0,0.16232307099999999,0.09987431,0.02575495,0.031901931,0.00479188,0,0,0,0
43,APKL0071,Cumbum_KL,Prakasam,Andhra Pradesh,Rural,709,3.4790452,3.4790452,0,0,0,0,0,0,0,0,0,0,0,0
44,APKL0216,Giddalur_KL,Prakasam,Andhra Pradesh,Rural,684,4.3615539,4.3615539,0,0,0,0,0,0,0,0,0,0,0,0
45,SRJLG0002,Gokavaram_JLG,East Godavari,Andhra Pradesh,Rural,4600,14.360518199000001,14.322396036,17,0,0,0.038122163,0.001998242,0,0.00027626999999999996,0,0,0,0.013303089,0.022544562
46,APMP0143,Gokavaram_LH,East Godavari,Andhra Pradesh,Rural,539,6.932465557,6.932465557,0,0,0,0,0,0,0,0,0,0,0,0
47,APKL0022,Gopalapuram_KL,East Godavari,Andhra Pradesh,Rural,1137,4.0594971,4.0594971,0,0,0,0,0,0,0,0,0,0,0,0
48,APMP0277,Gudivada_LH,Krishna,Andhra Pradesh,Urban,191,1.954372507,1.954372507,0,0,0,0,0,0,0,0,0,0,0,0
49,APMP0260,Guntakal_LH,Anantapur,Andhra Pradesh,Rural,289,2.88532605,2.88532605,0,0,0,0,0,0,0,0,0,0,0,0
50,TSKL0076,Hydershah kote(Sun City)_KL,Hyderabad,Telangana,Urban,706,6.1599498,6.1599498,0,0,0,0,0,0,0,0,0,0,0,0
51,APKL0168,Kadapa-2_KL,Kadapa,Andhra Pradesh,Urban,771,5.0730135,5.0730135,0,0,0,0,0,0,0,0,0,0,0,0
52,APKL0020,Kadapa_KL,Kadapa,Andhra Pradesh,Urban,1176,8.1796099,8.1796099,0,0,0,0,0,0,0,0,0,0,0,0
53,APKL0041,Kadiri_KL,Sri Sathya Sai,Andhra Pradesh,Rural,895,5.1229864,5.1229864,0,0,0,0,0,0,0,0,0,0,0,0
54,APKL0115,Kakinada_KL,Kakinada,Andhra Pradesh,Urban,394,2.778113,2.778113,0,0,0,0,0,0,0,0,0,0,0,0
55,APKL0018,Kalikiri_KL,Annamayya,Andhra Pradesh,Rural,351,1.1226386,1.1226386,0,0,0,0,0,0,0,0,0,0,0,0
56,TSJLG0224,Kallur_JLG,Khammam,Telangana,Rural,2060,7.73117969800003,7.73117969800003,0,0,0,0,0,0,0,0,0,0,0,0
57,APMP0231,Kandukur_LH,Nellore,Andhra Pradesh,Rural,230,2.179958768,2.179958768,0,0,0,0,0,0,0,0,0,0,0,0
58,APJLG0265,Karapa_JLG,Kakinada,Andhra Pradesh,Rural,1644,7.055870943999989,7.055870943999989,0,0,0,0,0,0,0,0,0,0,0,0
59,APMP0258,Addanki_LH,Bapatla,Andhra Pradesh,Rural,6,0.32739447,0.32739447,0,0,0,0,0,0,0,0,0,0,0,0
60,APJLG0275,Addaroad_JLG,Anakapalle,Andhra Pradesh,Rural,527,2.5842891,2.5842891,0,0,0,0,0,0,0,0,0,0,0,0
61,APMP0141,Amalapuram_LH,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,339,4.005909199,3.9768705580000003,3,0,0,0.029038641000000004,0,0,0.017486954000000002,0,0,0,0.011551687,0
62,APKL0056,Anantapur-2_KL,Anantapur,Andhra Pradesh,Urban,741,4.5068368,4.5068368,0,0,0,0,0,0,0,0,0,0,0,0
63,APKL0002,Badvel_KL,Kadapa,Andhra Pradesh,Rural,780,4.3382823,4.3382823,0,0,0,0,0,0,0,0,0,0,0,0
64,APJLG0287,Bapulapadu_JLG,Krishna,Andhra Pradesh,Rural,2462,10.6164874719999,10.5984048519999,5,0,0,0.01808262,0.01808262,0,0,0,0,0,0,0
