Unnamed: 0,Keertana Finserv Private Limited ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Portfolio Cuts as on 31st Jan 2024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Branchwise,,,,,,,,,,,,,,,,,,,
,SN,Branch Code,Branch Name,District,State,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365
,33,APKL0061,Allagadda_KL,Nandyal,Andhra Pradesh,1057,6.2472828,6.2472828,0,0,0,0,0,0,0,0,0,0,0,0
,34,APKL0051,Amalapuram_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,595,2.4789196,2.4789196,0,0,0,0,0,0,0,0,0,0,0,0
,35,TSJLG0282,Aswaraopeta_JLG,Bhadradri Kothagudem,Telangana,1447,7.117510273000001,7.117510273000001,0,0,0,0,0,0,0,0,0,0,0,0
,36,APKL0082,B Kothakota_KL,Annamayya,Andhra Pradesh,881,3.7156765,3.7156765,0,0,0,0,0,0,0,0,0,0,0,0
,37,APJLG0183,Challapalli_JLG,Krishna,Andhra Pradesh,2924,10.568230136,10.551390318000001,5,0,0,0.016839818,0.013017406,0,0,0.0038224120000000003,0,0,0,0
,38,APKL0043,Challapalli_KL,Krishna,Andhra Pradesh,1131,4.4120462,4.4120462,0,0,0,0,0,0,0,0,0,0,0,0
,39,APJLG0227,Chilakaluripet_JLG,Palnadu,Andhra Pradesh,3245,11.0331742019999,11.020622397999901,4,0,0,0.012551804,0.012551804,0,0,0,0,0,0,0
,40,APMP0160,Chilakaluripet_LH,Palnadu,Andhra Pradesh,314,3.199528597,3.194077779,1,0,0,0.005450818,0,0.005450818,0,0,0,0,0,0
,41,APKL0155,Chirala_KL,Bapatla,Andhra Pradesh,807,4.0178244,4.0178244,0,0,0,0,0,0,0,0,0,0,0,0
,42,APMP0127,Chittoor_LH,Chittoor,Andhra Pradesh,533,4.847123569,4.777841099,9,0,0,0.06928247,0.054773926,0.009716664,0.00479188,0,0,0,0,0
,43,APKL0071,Cumbum_KL,Prakasam,Andhra Pradesh,693,3.2195407,3.2195407,0,0,0,0,0,0,0,0,0,0,0,0
,44,APKL0216,Giddalur_KL,Prakasam,Andhra Pradesh,605,4.1843469,4.1843469,0,0,0,0,0,0,0,0,0,0,0,0
,45,APJLG0269,Gokavaram-2_JLG,East Godavari,Andhra Pradesh,3092,9.72549715600003,9.72229743000003,2,0,0,0.003199726,0,0,0,0,0,0,0,0.003199726
,46,SRJLG0002,Gokavaram_JLG,East Godavari,Andhra Pradesh,1451,4.51771141,4.51771141,0,0,0,0,0,0,0,0,0,0,0,0
,47,APMP0143,Gokavaram_LH,East Godavari,Andhra Pradesh,542,7.087311443000001,7.087311443000001,0,0,0,0,0,0,0,0,0,0,0,0
,48,APKL0022,Gopalapuram_KL,East Godavari,Andhra Pradesh,1049,3.9220966,3.9220966,0,0,0,0,0,0,0,0,0,0,0,0
,49,APMP0277,Gudivada_LH,Krishna,Andhra Pradesh,189,1.952208764,1.952208764,0,0,0,0,0,0,0,0,0,0,0,0
,50,APMP0260,Guntakal_LH,Anantapur,Andhra Pradesh,287,2.809088872,2.809088872,0,0,0,0,0,0,0,0,0,0,0,0
,52,TSKL0076,Hydershah kote(Sun City)_KL,Hyderabad,Telangana,657,5.8428758,5.8428758,0,0,0,0,0,0,0,0,0,0,0,0
,53,APKL0168,Kadapa-2_KL,Kadapa,Andhra Pradesh,694,4.467107,4.467107,0,0,0,0,0,0,0,0,0,0,0,0
,54,APKL0020,Kadapa_KL,Kadapa,Andhra Pradesh,1113,8.114601,8.114601,0,0,0,0,0,0,0,0,0,0,0,0
,55,APKL0041,Kadiri_KL,Sri Sathya Sai,Andhra Pradesh,795,4.7474036,4.7474036,0,0,0,0,0,0,0,0,0,0,0,0
,56,APKL0115,Kakinada_KL,Kakinada,Andhra Pradesh,402,2.7377509,2.7377509,0,0,0,0,0,0,0,0,0,0,0,0
,57,APKL0018,Kalikiri_KL,Annamayya,Andhra Pradesh,351,1.1702832,1.1702832,0,0,0,0,0,0,0,0,0,0,0,0
,58,TSJLG0224,Kallur_JLG,Khammam,Telangana,1887,7.13649610799999,7.13649610799999,0,0,0,0,0,0,0,0,0,0,0,0
,59,APMP0231,Kandukur_LH,Nellore,Andhra Pradesh,228,2.006529375,2.006529375,0,0,0,0,0,0,0,0,0,0,0,0
,60,APJLG0265,Karapa_JLG,Kakinada,Andhra Pradesh,1494,6.506582805000019,6.506582805000019,0,0,0,0,0,0,0,0,0,0,0,0
,61,APMP0258,Addanki_LH,Bapatla,Andhra Pradesh,3,0.0811858,0.0811858,0,0,0,0,0,0,0,0,0,0,0,0
,62,APJLG0275,Addaroad_JLG,Anakapalle,Andhra Pradesh,424,2.138253723,2.138253723,0,0,0,0,0,0,0,0,0,0,0,0
,63,APMP0141,Amalapuram_LH,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,339,4.086929392,4.057890751,3,0,0,0.029038641000000004,0,0.017486954000000002,0,0,0,0.011551687,0,0
,64,APKL0056,Anantapur-2_KL,Anantapur,Andhra Pradesh,660,4.0903783,4.0903783,0,0,0,0,0,0,0,0,0,0,0,0
,65,APKL0002,Badvel_KL,Kadapa,Andhra Pradesh,743,3.9395181,3.9395181,0,0,0,0,0,0,0,0,0,0,0,0
,66,APJLG0287,Bapulapadu_JLG,Krishna,Andhra Pradesh,2216,9.80926663799997,9.80926663799997,0,0,0,0,0,0,0,0,0,0,0,0
,67,APKL0013,Bhimadole_KL,Eluru,Andhra Pradesh,1106,4.8200141,4.8200141,0,0,0,0,0,0,0,0,0,0,0,0
,68,APKL0003,Bhimavaram_KL,West Godavari,Andhra Pradesh,945,5.929373,5.929373,0,0,0,0,0,0,0,0,0,0,0,0
,69,ORJLG0333,Buguda_JLG,Ganjam,Orissa,11,0.058168,0.058168,0,0,0,0,0,0,0,0,0,0,0,0
,70,APKL0106,Chagallu_KL,East Godavari,Andhra Pradesh,704,2.4213344,2.4213344,0,0,0,0,0,0,0,0,0,0,0,0
,71,APJLG0306,Chandole_JLG,Bapatla,Andhra Pradesh,906,3.006337769,3.00312258,1,0,0,0.003215189,0.003215189,0,0,0,0,0,0,0
,72,APJLG0305,Chebrolu_JLG,Guntur,Andhra Pradesh,1510,5.82334897499999,5.82334897499999,0,0,0,0,0,0,0,0,0,0,0,0
,73,APKL0028,Cherukupalli_KL,Bapatla,Andhra Pradesh,2131,7.3980847,7.3980847,0,0,0,0,0,0,0,0,0,0,0,0
,74,APKL0004,Chimakurthi_KL,Prakasam,Andhra Pradesh,1161,4.301439538,4.301439538,0,0,0,0,0,0,0,0,0,0,0,0
,75,APJLG0281,Cumbum_JLG,Prakasam,Andhra Pradesh,1021,5.08237025,5.08237025,0,0,0,0,0,0,0,0,0,0,0,0
,76,APKL0016,Dharmavaram_KL,Sri Sathya Sai,Andhra Pradesh,962,6.0828514,6.0828514,0,0,0,0,0,0,0,0,0,0,0,0
,77,APKL0060,Dhone_KL,Nandyal,Andhra Pradesh,498,3.0745194,3.0745194,0,0,0,0,0,0,0,0,0,0,0,0
,78,ORJLG0296,Digapahandi_JLG,Ganjam,Orissa,838,4.32247421500001,4.32247421500001,0,0,0,0,0,0,0,0,0,0,0,0
,79,APJLG0285,Dwaraka Tirumala_JLG,Eluru,Andhra Pradesh,1992,9.026063743,9.026063743,0,0,0,0,0,0,0,0,0,0,0,0
,80,APKL0156,Gokavaram_KL,East Godavari,Andhra Pradesh,390,1.2149666,1.2149666,0,0,0,0,0,0,0,0,0,0,0,0
,81,APKL0172,Gooty_KL,Anantapur,Andhra Pradesh,823,6.4580906,6.4580906,0,0,0,0,0,0,0,0,0,0,0,0
,82,APKL0104,Gudivada_KL,Krishna,Andhra Pradesh,593,3.2249508,3.2249508,0,0,0,0,0,0,0,0,0,0,0,0
,83,APKL0001,Gunadala_KL,Krishna,Andhra Pradesh,626,3.0164523,3.0164523,0,0,0,0,0,0,0,0,0,0,0,0
,84,APKL0179,Guntakal_KL,Anantapur,Andhra Pradesh,1879,12.8440566,12.8440566,0,0,0,0,0,0,0,0,0,0,0,0
