Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Portfolio Cuts as on 31 Mar 25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,, ,,, ,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,,,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,"Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,
53,APKL0207,Vetapalem_KL,Bapatla,,,Andhra Pradesh,Rural,2388,12.1479173,10.406053799999999,238,1.7418635,0.636085,1.0974049,0.0083736,0,0,0,0,0,1.7418635,0.14338782994513802,0,0,
54,APMP0158,Bapatla_LH,Bapatla,,,Andhra Pradesh,Urban,460,6.627478139,5.667174795999999,77,0.9603033430000001,0.24386034199999998,0.383522425,0.19638703400000002,0.04271544,0.068560551,0.025257551,0,0,0.9603033430000001,0.14489724792134845,0.13653354199999998,0.02060113049586024,
55,APMP0159,Repalle_LH,Bapatla,,,Andhra Pradesh,Rural,309,6.8039878620000005,6.706193067000001,8,0.09779479499999999,0.001835522,0.037567447,0.04761709,0.00374722,0.001298572,0.005728944000000001,0,0,0.09779479499999999,0.014373158357054104,0.010774736,0.0015835913024149365,
56,APMP0258,Addanki_LH,Bapatla,,,Andhra Pradesh,Rural,57,4.7840333,4.752689623,1,0.031343677,0.031343677,0,0,0,0,0,0,0,0.031343677,0.006551726343543637,0,0,
57,APJLG0292,Palamaner_JLG,Chittoor,,,Andhra Pradesh,Rural,2631,7.185090934000001,5.203140630000001,657,1.981950304,1.04476064,0.47607773200000003,0.28751550099999995,0.173596431,0,0,0,0,1.981950304,0.27584206271090733,0.173596431,0.02416064495141433,
58,APJLG0293,Venkatagirikota_JLG,Chittoor,,,Andhra Pradesh,Rural,1822,5.59606478300001,4.543127376000009,309,1.052937407000001,0.565404021000001,0.29495515299999997,0.137974177,0.054604056000000005,0,0,0,0,1.052937407000001,0.18815675797726003,0.054604056000000005,0.009757581106973385,
59,APJLG0294,Punganur_JLG,Chittoor,,,Andhra Pradesh,Rural,3209,9.33470210500001,6.86797871000001,751,2.4667233950000003,1.1912584720000001,0.675789321,0.337132472,0.26254312999999996,0,0,0,0,2.4667233950000003,0.2642530385280032,0.26254312999999996,0.0281254963518731,
60,APJLG0295,Puthalapattu_JLG,Chittoor,,,Andhra Pradesh,Rural,1831,5.84506841099999,3.62124408999999,613,2.223824321,0.8946605759999999,0.6135824049999999,0.46253950499999996,0.253041835,0,0,0,0,2.223824321,0.380461641272654,0.253041835,0.043291509561084664,
61,APJLG0298,Kuppam_JLG,Chittoor,,,Andhra Pradesh,Rural,1957,5.71789029199999,5.4369142199999905,87,0.28097607199999997,0.19036303999999998,0.05551209,0.035100941999999996,0,0,0,0,0,0.28097607199999997,0.04913981515054931,0,0,
62,APJLG0348,Puttur_JLG,Chittoor,,,Andhra Pradesh,Rural,1587,5.074389740000011,4.868701695000011,58,0.20568804499999999,0.129749159,0.075938886,0,0,0,0,0,0,0.20568804499999999,0.04053453824774594,0,0,
63,APKL0006,Chittoor_KL,Chittoor,,,Andhra Pradesh,Urban,1959,13.0358593,12.0638982,114,0.9719611,0.3928702,0.5763575,0.0027334,0,0,0,0,0,0.9719611,0.0745605700116754,0,0,
64,APKL0008,Punganur_KL,Chittoor,,,Andhra Pradesh,Urban,1414,6.8707289,5.7729444,166,1.0977845,0.4590682,0.5126767,0.1260396,0,0,0,0,0,1.0977845,0.15977700706543668,0,0,
65,APKL0011,Bangarupalyam_KL,Chittoor,,,Andhra Pradesh,Rural,1098,5.2045731,4.4745861,104,0.729987,0.1396483,0.5889018,0.0014369,0,0,0,0,0,0.729987,0.14025876589186537,0,0,
