Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 30 Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
83,APJLG0203,Jaggaiahpet_JLG,NTR,Andhra Pradesh,Rural,3480,12.928804396999901,12.7211818859999,62,0,0,0.207622511,0.19317201,0.014450501000000001,0,0,0,0,0,0,0.207622511,0.016058910369792456,0,0
84,APMP0098,Rajahmundry_MSME,East Godavari,Andhra Pradesh,Urban,358,1.3931308279999999,1.323241052,16,0,0,0.069889776,0.008294055,0.018190711,0.02123372,0,0,0.007892847,0.014278443,0,0.069889776,0.05016741758585218,0.02217129,0.01591472211682333
85,APKL0025,Kothapeta_KL,Guntur,Andhra Pradesh,Urban,1611,8.985784435,8.985784435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,APKL0134,Akkayyapalem_KL,Visakhapatnam,Andhra Pradesh,Urban,409,2.3518924,2.3518924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,APKL0063,Amaravathi_KL,Palnadu,Andhra Pradesh,Urban,835,3.3658758,3.3658758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,APMP0157,Anakapalle_LH,Anakapalle,Andhra Pradesh,Urban,160,2.924883669,2.9146265810000003,2,0,0,0.010257088000000001,0.003506243,0,0.006750845,0,0,0,0,0,0.010257088000000001,0.003506836223509305,0,0
89,APKL0174,Anakapalli_KL,Anakapalle,Andhra Pradesh,Urban,668,4.7804199,4.7804199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,APMP0130,Anantapur_LH,Anantapur,Andhra Pradesh,Urban,368,2.155972267,2.05168065,22,0,0,0.10429161699999999,0.036666499,0.011793919,0.009730957,0.005070161,0.019687211,0.009086001,0.012256869,0,0.10429161699999999,0.048373357392542,0.046100242,0.021382576532001374
91,KAMP0176,Bangarpet_LH,Kolar,Karnataka,Rural,275,3.765990928,3.727938038,5,0,0,0.03805289,0.006183883,0,0.010920053,0.005107501,0.008478645,0,0.007362808,0,0.03805289,0.010104349884934189,0.020948954,0.005562667144056381
92,APKL0011,Bangaruplayam_KL,Chittoor,Andhra Pradesh,Rural,1124,6.5720562,6.5720562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,APJLG0327,Bantumilli_JLG,Krishna,Andhra Pradesh,Rural,851,3.0806582739999997,2.980356942,31,0,0,0.100301332,0.023757687,0.008648031,0.018634564000000003,0.006049598000000001,0.016284148999999998,0.0068475559999999994,0.020079747,0,0.100301332,0.032558408975938244,0.04926105,0.015990429842787555
94,APKL0053,Bobbili_KL,Vizianagaram,Andhra Pradesh,Rural,1117,8.5628456,8.5628456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,ORJLG0290,Chatrapur_JLG,Ganjam,Orissa,Rural,1880,8.542259460999981,8.542259460999981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,APKL0078,Chennekothapalli_KL,Sri Sathya Sai,Andhra Pradesh,Rural,1535,7.2929758,7.2929758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
