Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 30 Apr 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
SN,"IRR, omitting processing fee",Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,,,,,
1,<10,5345,146.1399431,146.1399431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,10-12,11443,62.20086072389999,62.20086072389999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,12-15,20,0.5759897,0.5759897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,15-18,21189,89.76951182799999,89.76951182799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,18-20,49156,343.060521155,343.060521155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,20-22,43329,196.415447893,196.278959569,26,0,0,0.136488324,0.00485,0.089720023,0.000615012,0.001425636,0.0012,0,0.001936645,0.036741008,0.136488324,0.0006948960759662543,0.041303289,0.0002102853387708106,,,,,,
7,22-24,21052,108.29628738,107.624569573,24,0,0,0.6717178070000001,0.284289347,0.006081403,0.12599168700000002,0.088037282,0.113713766,0.053604321999999996,0,0,0.6717178070000001,0.006202593119771638,0.25535536999999997,0.0023579328172533332,,,,,,
8,24-26,179915,729.302936060686,727.801450233686,377,0,0,1.501485827,0.8553231609999999,0.181645575,0.279996871,0.09149389399999999,0.023726644,0.002898359,0.066401323,0,1.501485827,0.002058795807281736,0.18452022,0.000253009018442572,,,,,,
9,>26,14620,71.99732385,70.544842754,232,0,0,1.4524810959999999,0.409309753,0.302773756,0.336813164,0.184749525,0.156387897,0.030763352,0.031683649,0,1.4524810959999999,0.020174098401575517,0.40358442299999997,0.005605547559529186,,,,,,
