Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 31 Mar 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
124,APMP0128,Madanapalle_LH,Annamayya,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
125,TSJLG0199,Madhira_JLG,Khammam,Telangana,rural,,,,,0,0,,,,,,,,,,,,,,,
126,APKL0034,Mandapet_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
127,APJLG0237,Mylavaram_JLG,NTR,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
128,APKL0215,Naidupet_KL,Tirupati,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
129,APKL0032,Narasaraopet_KL,Palnadu,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
130,APMP0096,Narsipatnam_LH,Anakapalle,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
131,APKL0122,Nellore_KL,Nellore,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
132,APKL0080,Obula Devara Cheruvu_KL,Sri Sathya Sai,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
133,APKL0113,Ongole_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
134,APKL0101,Palasa_KL,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
135,APKL0120,Pamidi_KL,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
136,APKL0247,Pathapatnam_KL,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
137,APKL0170,Pattikonda_KL,Kurnool,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
138,KAKL0210,Pavagada_KL,Tumkur,Karnataka,Rural,,,,,0,0,,,,,,,,,,,,,,,
139,APJLG0229,Pedanandipadu_JLG,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
140,APJLG0241,Pithapuram_JLG,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
141,APJLG0278,Podili_JLG,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
142,APKL0073,Podili_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
143,APMP0232,Podili_LH,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
144,APJLG0226,Ponnur_JLG,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
145,APKL0054,Ponnur_KL,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
146,APMP0161,Ponnur_LH,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
